customerID,ChurnStatus,Churn,gender,SeniorCitizenLabel,Partner,Dependents,tenure,TenureGroup,Contract,PaymentMethod,PaperlessBilling,InternetService,PhoneService,MonthlyCharges,ChargesBand,TotalCharges,CLV,RuleBasedRisk,SeniorCitizen,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChurnLabel
9763-GRSKD,Active,0,Male,No,Yes,Yes,13,13–24 months,Month-to-month,Mailed check,Yes,DSL,Yes,49.95,Medium ($35–65),587.45,649.35,Medium Risk,0,No,Yes,No,No,No,No,No,No
7469-LKBCI,Active,0,Male,No,No,No,16,13–24 months,Two year,Credit card (automatic),No,No,Yes,18.95,Low (<$35),326.8,303.2,Low Risk,0,No,No,No,No,No,No,No,No
8091-TTVAX,Active,0,Male,No,Yes,No,58,49–72 months,One year,Credit card (automatic),No,Fiber optic,Yes,100.35,Premium (>$95),5681.1,5820.3,Low Risk,0,Yes,No,No,Yes,No,Yes,Yes,No
0280-XJGEX,Churned,1,Male,No,No,No,49,49–72 months,Month-to-month,Bank transfer (automatic),Yes,Fiber optic,Yes,103.7,Premium (>$95),5036.3,5081.3,Low Risk,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5129-JLPIS,Active,0,Male,No,No,No,25,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,105.5,Premium (>$95),2686.05,2637.5,Low Risk,0,No,Yes,No,Yes,Yes,Yes,Yes,No
3655-SNQYZ,Active,0,Female,No,Yes,Yes,69,49–72 months,Two year,Credit card (automatic),No,Fiber optic,Yes,113.25,Premium (>$95),7895.15,7814.25,Low Risk,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
8191-XWSZG,Active,0,Female,No,No,No,52,49–72 months,One year,Mailed check,No,No,Yes,20.65,Low (<$35),1022.95,1073.8,Low Risk,0,No,No,No,No,No,No,No,No
9959-WOFKT,Active,0,Male,No,No,Yes,71,49–72 months,Two year,Bank transfer (automatic),No,Fiber optic,Yes,106.7,Premium (>$95),7382.25,7575.7,Low Risk,0,Yes,Yes,No,Yes,No,Yes,Yes,No
4190-MFLUW,Churned,1,Female,No,Yes,Yes,10,0–12 months,Month-to-month,Credit card (automatic),No,DSL,Yes,55.2,Medium ($35–65),528.35,552.0,High Risk,0,No,No,No,Yes,Yes,No,No,Yes
4183-MYFRB,Active,0,Female,No,No,No,21,13–24 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,90.05,High ($65–95),1862.9,1891.05,Medium Risk,0,No,No,Yes,Yes,No,No,Yes,No
8779-QRDMV,Churned,1,Male,Yes,No,No,1,0–12 months,Month-to-month,Electronic check,Yes,DSL,No,39.65,Medium ($35–65),39.65,39.65,High Risk,1,No,No,No,Yes,No,No,Yes,Yes
1680-VDCWW,Active,0,Male,No,Yes,No,12,0–12 months,One year,Bank transfer (automatic),No,No,Yes,19.8,Low (<$35),202.25,237.6,Low Risk,0,No,No,No,No,No,No,No,No
1066-JKSGK,Churned,1,Male,No,No,No,1,0–12 months,Month-to-month,Mailed check,No,No,Yes,20.15,Low (<$35),20.15,20.15,High Risk,0,No,No,No,No,No,No,No,Yes
3638-WEABW,Active,0,Female,No,Yes,No,58,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,59.9,Medium ($35–65),3505.1,3474.2,Low Risk,0,Yes,No,Yes,No,Yes,No,No,No
6322-HRPFA,Active,0,Male,No,Yes,Yes,49,49–72 months,Month-to-month,Credit card (automatic),No,DSL,Yes,59.6,Medium ($35–65),2970.3,2920.4,Low Risk,0,No,Yes,Yes,No,Yes,No,No,No
6865-JZNKO,Active,0,Female,No,No,No,30,25–48 months,Month-to-month,Bank transfer (automatic),Yes,DSL,Yes,55.3,Medium ($35–65),1530.6,1659.0,Low Risk,0,No,Yes,Yes,No,No,No,No,No
6467-CHFZW,Churned,1,Male,No,Yes,Yes,47,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,99.35,Premium (>$95),4749.15,4669.45,Low Risk,0,Yes,No,Yes,No,No,Yes,Yes,Yes
8665-UTDHZ,Churned,1,Male,No,Yes,Yes,1,0–12 months,Month-to-month,Electronic check,No,DSL,No,30.2,Low (<$35),30.2,30.2,High Risk,0,No,No,Yes,No,No,No,No,Yes
5248-YGIJN,Active,0,Male,No,Yes,No,72,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,90.25,High ($65–95),6369.45,6498.0,Low Risk,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
8773-HHUOZ,Churned,1,Female,No,No,Yes,17,13–24 months,Month-to-month,Mailed check,Yes,DSL,Yes,64.7,Medium ($35–65),1093.1,1099.9,Medium Risk,0,No,No,No,No,No,Yes,Yes,Yes
3841-NFECX,Active,0,Female,Yes,Yes,No,71,49–72 months,Two year,Credit card (automatic),Yes,Fiber optic,Yes,96.35,Premium (>$95),6766.95,6840.85,Low Risk,1,Yes,Yes,Yes,Yes,Yes,No,No,No
4929-XIHVW,Active,0,Male,Yes,Yes,No,2,0–12 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,95.5,Premium (>$95),181.65,191.0,High Risk,1,No,No,No,Yes,No,Yes,Yes,No
6827-IEAUQ,Active,0,Female,No,Yes,Yes,27,25–48 months,One year,Mailed check,No,DSL,Yes,66.15,High ($65–95),1874.45,1786.05,Low Risk,0,No,Yes,Yes,Yes,Yes,No,No,No
7310-EGVHZ,Active,0,Male,No,No,No,1,0–12 months,Month-to-month,Bank transfer (automatic),No,No,Yes,20.2,Low (<$35),20.2,20.2,High Risk,0,No,No,No,No,No,No,No,No
3413-BMNZE,Active,0,Male,Yes,No,No,1,0–12 months,Month-to-month,Bank transfer (automatic),No,DSL,Yes,45.25,Medium ($35–65),45.25,45.25,High Risk,1,No,No,No,No,No,No,No,No
6234-RAAPL,Active,0,Female,No,Yes,Yes,72,49–72 months,Two year,Bank transfer (automatic),No,Fiber optic,Yes,99.9,Premium (>$95),7251.7,7192.8,Low Risk,0,Yes,Yes,Yes,No,Yes,Yes,No,No
6047-YHPVI,Churned,1,Male,No,No,No,5,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,69.7,High ($65–95),316.9,348.5,High Risk,0,No,No,No,No,No,No,No,Yes
6572-ADKRS,Active,0,Female,No,No,No,46,25–48 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,74.8,High ($65–95),3548.3,3440.8,Low Risk,0,No,No,No,Yes,No,No,No,No
5380-WJKOV,Churned,1,Male,No,No,No,34,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,106.35,Premium (>$95),3549.25,3615.9,Low Risk,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes
8168-UQWWF,Churned,1,Female,No,No,No,11,0–12 months,Month-to-month,Bank transfer (automatic),Yes,Fiber optic,Yes,97.85,Premium (>$95),1105.4,1076.35,High Risk,0,Yes,No,No,Yes,No,Yes,Yes,Yes
8865-TNMNX,Active,0,Male,No,Yes,Yes,10,0–12 months,One year,Mailed check,No,DSL,Yes,49.55,Medium ($35–65),475.7,495.5,Low Risk,0,No,No,Yes,No,No,No,No,No
9489-DEDVP,Active,0,Female,No,Yes,Yes,70,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,69.2,High ($65–95),4872.35,4844.0,Low Risk,0,Yes,Yes,Yes,No,No,Yes,No,No
9867-JCZSP,Active,0,Female,No,Yes,Yes,17,13–24 months,One year,Mailed check,No,No,Yes,20.75,Low (<$35),418.25,352.75,Low Risk,0,No,No,No,No,No,No,No,No
4671-VJLCL,Active,0,Female,No,No,No,63,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,79.85,High ($65–95),4861.45,5030.55,Low Risk,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No
4080-IIARD,Active,0,Female,No,Yes,No,13,13–24 months,Month-to-month,Electronic check,Yes,DSL,Yes,76.2,High ($65–95),981.45,990.6,Medium Risk,0,Yes,Yes,Yes,No,Yes,Yes,No,No
3714-NTNFO,Active,0,Female,No,No,No,49,49–72 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,84.5,High ($65–95),3906.7,4140.5,Low Risk,0,Yes,No,No,No,No,No,Yes,No
5948-UJZLF,Active,0,Male,No,No,No,2,0–12 months,Month-to-month,Mailed check,No,DSL,Yes,49.25,Medium ($35–65),97.0,98.5,High Risk,0,No,No,Yes,No,No,No,No,No
7760-OYPDY,Churned,1,Female,No,No,No,2,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,80.65,High ($65–95),144.15,161.3,High Risk,0,No,No,No,No,No,Yes,No,Yes
7639-LIAYI,Active,0,Male,No,No,No,52,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,79.75,High ($65–95),4217.8,4147.0,Low Risk,0,Yes,Yes,No,No,Yes,Yes,Yes,No
2954-PIBKO,Active,0,Female,No,Yes,Yes,69,49–72 months,Two year,Credit card (automatic),Yes,DSL,Yes,64.15,Medium ($35–65),4254.1,4426.35,Low Risk,0,Yes,Yes,No,Yes,Yes,No,No,No
8012-SOUDQ,Active,0,Female,Yes,No,No,43,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,90.25,High ($65–95),3838.75,3880.75,Low Risk,1,Yes,No,Yes,No,No,Yes,No,No
9420-LOJKX,Churned,1,Female,No,No,No,15,13–24 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,99.1,Premium (>$95),1426.4,1486.5,Medium Risk,0,No,Yes,Yes,No,No,Yes,Yes,Yes
6575-SUVOI,Active,0,Female,Yes,Yes,No,25,25–48 months,Month-to-month,Credit card (automatic),Yes,DSL,Yes,69.5,High ($65–95),1752.65,1737.5,Low Risk,1,Yes,Yes,No,No,Yes,Yes,No,No
7495-OOKFY,Churned,1,Female,Yes,Yes,No,8,0–12 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,80.65,High ($65–95),633.3,645.2,High Risk,1,Yes,No,Yes,No,No,No,No,Yes
4667-QONEA,Active,0,Female,Yes,Yes,Yes,60,49–72 months,One year,Credit card (automatic),Yes,DSL,Yes,74.85,High ($65–95),4456.35,4491.0,Low Risk,1,No,Yes,Yes,Yes,Yes,No,Yes,No
1658-BYGOY,Churned,1,Male,Yes,No,No,18,13–24 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,95.45,Premium (>$95),1752.55,1718.1,Medium Risk,1,Yes,No,No,No,No,Yes,Yes,Yes
8769-KKTPH,Active,0,Female,No,Yes,Yes,63,49–72 months,One year,Credit card (automatic),Yes,Fiber optic,Yes,99.65,Premium (>$95),6311.2,6277.95,Low Risk,0,Yes,Yes,No,No,No,Yes,Yes,No
5067-XJQFU,Active,0,Male,Yes,Yes,Yes,66,49–72 months,One year,Electronic check,Yes,Fiber optic,Yes,108.45,Premium (>$95),7076.35,7157.7,Low Risk,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No
3957-SQXML,Active,0,Female,No,Yes,Yes,34,25–48 months,Two year,Credit card (automatic),No,No,Yes,24.95,Low (<$35),894.3,848.3,Low Risk,0,Yes,No,No,No,No,No,No,No
5954-BDFSG,Active,0,Female,No,No,No,72,49–72 months,Two year,Credit card (automatic),Yes,Fiber optic,Yes,107.5,Premium (>$95),7853.7,7740.0,Low Risk,0,Yes,No,No,Yes,Yes,Yes,Yes,No
0434-CSFON,Active,0,Female,No,Yes,No,47,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,100.5,Premium (>$95),4707.1,4723.5,Low Risk,0,Yes,No,No,Yes,No,Yes,Yes,No
1215-FIGMP,Active,0,Male,No,No,No,60,49–72 months,Month-to-month,Bank transfer (automatic),Yes,Fiber optic,Yes,89.9,High ($65–95),5450.7,5394.0,Low Risk,0,Yes,No,Yes,No,No,Yes,No,No
0526-SXDJP,Active,0,Male,No,Yes,No,72,49–72 months,Two year,Bank transfer (automatic),No,DSL,No,42.1,Medium ($35–65),2962.0,3031.2,Low Risk,0,No,Yes,Yes,Yes,No,No,No,No
0557-ASKVU,Active,0,Female,No,Yes,Yes,18,13–24 months,One year,Credit card (automatic),Yes,DSL,Yes,54.4,Medium ($35–65),957.1,979.2,Low Risk,0,No,No,No,Yes,Yes,No,No,No
5698-BQJOH,Churned,1,Female,No,No,No,9,0–12 months,Month-to-month,Electronic check,No,Fiber optic,Yes,94.4,High ($65–95),857.25,849.6,High Risk,0,Yes,No,No,No,No,Yes,Yes,Yes
5122-CYFXA,Active,0,Female,No,No,No,3,0–12 months,Month-to-month,Electronic check,Yes,DSL,Yes,75.3,High ($65–95),244.1,225.9,High Risk,0,No,No,Yes,No,Yes,Yes,Yes,No
8627-ZYGSZ,Active,0,Male,No,Yes,No,47,25–48 months,One year,Electronic check,Yes,Fiber optic,Yes,78.9,High ($65–95),3650.35,3708.3,Low Risk,0,Yes,No,Yes,No,No,No,No,No
3410-YOQBQ,Active,0,Female,No,No,No,31,25–48 months,Two year,Mailed check,No,DSL,Yes,79.2,High ($65–95),2497.2,2455.2,Low Risk,0,No,No,Yes,Yes,Yes,Yes,Yes,No
3170-NMYVV,Active,0,Female,No,Yes,Yes,50,49–72 months,Two year,Bank transfer (automatic),No,No,Yes,20.15,Low (<$35),930.9,1007.5,Low Risk,0,No,No,No,No,No,No,No,No
7410-OIEDU,Active,0,Male,No,No,No,10,0–12 months,Month-to-month,Mailed check,Yes,Fiber optic,Yes,79.85,High ($65–95),887.35,798.5,High Risk,0,No,Yes,No,Yes,No,No,No,No
2273-QCKXA,Active,0,Male,No,No,No,1,0–12 months,Month-to-month,Mailed check,No,DSL,Yes,49.05,Medium ($35–65),49.05,49.05,High Risk,0,No,No,No,No,Yes,No,No,No
0731-EBJQB,Active,0,Female,No,Yes,Yes,52,49–72 months,One year,Electronic check,Yes,No,Yes,20.4,Low (<$35),1090.65,1060.8,Low Risk,0,No,No,No,No,No,No,No,No
1891-QRQSA,Active,0,Male,Yes,Yes,Yes,64,49–72 months,Two year,Bank transfer (automatic),Yes,Fiber optic,Yes,111.6,Premium (>$95),7099.0,7142.4,Low Risk,1,Yes,Yes,No,Yes,Yes,Yes,Yes,No
8028-PNXHQ,Active,0,Male,No,Yes,Yes,62,49–72 months,Two year,Bank transfer (automatic),Yes,No,Yes,24.25,Low (<$35),1424.6,1503.5,Low Risk,0,Yes,No,No,No,No,No,No,No
5630-AHZIL,Active,0,Female,No,No,Yes,3,0–12 months,Month-to-month,Bank transfer (automatic),Yes,DSL,Yes,64.5,Medium ($35–65),177.4,193.5,High Risk,0,No,Yes,No,No,Yes,No,Yes,No
2673-CXQEU,Active,0,Female,Yes,No,No,56,49–72 months,One year,Electronic check,No,Fiber optic,Yes,110.5,Premium (>$95),6139.5,6188.0,Low Risk,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No
6416-JNVRK,Active,0,Female,No,No,No,46,25–48 months,One year,Credit card (automatic),No,DSL,Yes,55.65,Medium ($35–65),2688.85,2559.9,Low Risk,0,No,No,No,No,No,No,Yes,No
5590-ZSKRV,Active,0,Female,No,Yes,Yes,8,0–12 months,Month-to-month,Mailed check,No,DSL,Yes,54.65,Medium ($35–65),482.25,437.2,High Risk,0,No,Yes,Yes,No,No,No,No,No
0191-ZHSKZ,Active,0,Male,Yes,No,No,30,25–48 months,Month-to-month,Electronic check,Yes,DSL,Yes,74.75,High ($65–95),2111.3,2242.5,Low Risk,1,No,Yes,Yes,No,No,Yes,Yes,No
3887-PBQAO,Active,0,Female,No,Yes,Yes,45,25–48 months,One year,Credit card (automatic),Yes,No,Yes,25.9,Low (<$35),1216.6,1165.5,Low Risk,0,Yes,No,No,No,No,No,No,No
5919-TMRGD,Churned,1,Female,No,No,Yes,1,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,79.35,High ($65–95),79.35,79.35,High Risk,0,No,No,No,No,No,Yes,No,Yes
8108-UXRQN,Active,0,Female,No,Yes,Yes,11,0–12 months,Month-to-month,Electronic check,No,DSL,No,50.55,Medium ($35–65),565.35,556.05,High Risk,0,No,Yes,No,No,No,Yes,Yes,No
9191-MYQKX,Churned,1,Female,No,Yes,No,7,0–12 months,Month-to-month,Bank transfer (automatic),Yes,Fiber optic,Yes,75.15,High ($65–95),496.9,526.05,High Risk,0,No,No,No,Yes,No,No,No,Yes
9919-YLNNG,Active,0,Female,No,No,No,42,25–48 months,Month-to-month,Bank transfer (automatic),Yes,Fiber optic,Yes,103.8,Premium (>$95),4327.5,4359.6,Low Risk,0,No,No,Yes,Yes,Yes,Yes,Yes,No
0318-ZOPWS,Active,0,Female,No,Yes,No,49,49–72 months,Two year,Bank transfer (automatic),Yes,No,Yes,20.15,Low (<$35),973.35,987.35,Low Risk,0,No,No,No,No,No,No,No,No
4445-ZJNMU,Active,0,Male,No,No,No,9,0–12 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,99.3,Premium (>$95),918.75,893.7,High Risk,0,Yes,No,Yes,No,No,Yes,Yes,No
4808-YNLEU,Active,0,Female,No,Yes,No,35,25–48 months,One year,Bank transfer (automatic),Yes,DSL,Yes,62.15,Medium ($35–65),2215.45,2175.25,Low Risk,0,No,Yes,No,No,No,Yes,No,No
1862-QRWPE,Active,0,Female,No,Yes,Yes,48,25–48 months,Two year,Bank transfer (automatic),No,No,Yes,20.65,Low (<$35),1057.0,991.2,Low Risk,0,No,No,No,No,No,No,No,No
2796-NNUFI,Active,0,Female,No,Yes,Yes,46,25–48 months,Two year,Mailed check,Yes,No,Yes,19.95,Low (<$35),927.1,917.7,Low Risk,0,No,No,No,No,No,No,No,No
3016-KSVCP,Active,0,Male,No,Yes,No,29,25–48 months,Month-to-month,Mailed check,No,DSL,No,33.75,Low (<$35),1009.25,978.75,Low Risk,0,No,No,No,No,No,Yes,No,No
4767-HZZHQ,Active,0,Male,No,Yes,Yes,30,25–48 months,Month-to-month,Bank transfer (automatic),No,Fiber optic,Yes,82.05,High ($65–95),2570.2,2461.5,Low Risk,0,No,No,Yes,Yes,No,No,No,No
2424-WVHPL,Active,0,Male,Yes,No,No,1,0–12 months,Month-to-month,Electronic check,No,Fiber optic,Yes,74.7,High ($65–95),74.7,74.7,High Risk,1,No,No,No,No,Yes,No,No,No
7233-PAHHL,Active,0,Male,No,Yes,Yes,66,49–72 months,Two year,Mailed check,Yes,DSL,Yes,84.0,High ($65–95),5714.25,5544.0,Low Risk,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No
6067-NGCEU,Active,0,Female,No,No,No,65,49–72 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,111.05,Premium (>$95),7107.0,7218.25,Low Risk,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No
9848-JQJTX,Active,0,Male,No,No,No,72,49–72 months,Two year,Bank transfer (automatic),Yes,Fiber optic,Yes,100.9,Premium (>$95),7459.05,7264.8,Low Risk,0,Yes,No,Yes,Yes,No,Yes,Yes,No
8637-XJIVR,Churned,1,Female,No,No,No,12,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,78.95,High ($65–95),927.35,947.4,High Risk,0,Yes,Yes,No,No,No,No,No,Yes
9803-FTJCG,Active,0,Male,No,Yes,Yes,71,49–72 months,One year,Credit card (automatic),Yes,DSL,Yes,66.85,High ($65–95),4748.7,4746.35,Low Risk,0,Yes,Yes,Yes,No,Yes,No,No,No
0278-YXOOG,Churned,1,Male,No,No,No,5,0–12 months,Month-to-month,Mailed check,No,No,Yes,21.05,Low (<$35),113.85,105.25,High Risk,0,No,No,No,No,No,No,No,Yes
3212-KXOCR,Active,0,Male,No,No,No,52,49–72 months,Two year,Bank transfer (automatic),No,No,Yes,21.0,Low (<$35),1107.2,1092.0,Low Risk,0,No,No,No,No,No,No,No,No
4598-XLKNJ,Churned,1,Female,Yes,Yes,No,25,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,98.5,Premium (>$95),2514.5,2462.5,Low Risk,1,No,No,Yes,Yes,No,Yes,Yes,Yes
6380-ARCEH,Active,0,Male,No,No,No,1,0–12 months,Month-to-month,Mailed check,No,No,Yes,20.2,Low (<$35),20.2,20.2,High Risk,0,No,No,No,No,No,No,No,No
3679-XASPY,Active,0,Female,No,Yes,Yes,1,0–12 months,Month-to-month,Electronic check,No,No,Yes,19.45,Low (<$35),19.45,19.45,High Risk,0,No,No,No,No,No,No,No,No
7123-WQUHX,Active,0,Male,No,No,No,38,25–48 months,One year,Bank transfer (automatic),No,Fiber optic,Yes,95.0,High ($65–95),3605.6,3610.0,Low Risk,0,Yes,No,No,Yes,Yes,Yes,No,No
5386-THSLQ,Active,0,Female,Yes,Yes,No,66,49–72 months,One year,Bank transfer (automatic),No,DSL,No,45.55,Medium ($35–65),3027.25,3006.3,Low Risk,1,No,No,Yes,Yes,No,Yes,No,No
3192-NQECA,Churned,1,Male,No,Yes,No,68,49–72 months,Two year,Bank transfer (automatic),Yes,Fiber optic,Yes,110.0,Premium (>$95),7611.85,7480.0,Low Risk,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,Active,0,Male,No,No,No,5,0–12 months,Month-to-month,Mailed check,No,DSL,No,24.3,Low (<$35),100.2,121.5,High Risk,0,No,No,No,No,No,No,No,No
6728-DKUCO,Active,0,Female,No,Yes,Yes,72,49–72 months,One year,Electronic check,Yes,Fiber optic,Yes,104.15,Premium (>$95),7303.05,7498.8,Low Risk,0,Yes,Yes,Yes,No,No,Yes,Yes,No
9750-BOOHV,Active,0,Female,No,No,No,32,25–48 months,One year,Mailed check,No,DSL,No,30.15,Low (<$35),927.65,964.8,Low Risk,0,No,Yes,No,No,No,No,No,No
8597-CWYHH,Active,0,Male,No,No,No,43,25–48 months,One year,Mailed check,No,Fiber optic,Yes,94.35,High ($65–95),3921.3,4057.05,Low Risk,0,Yes,No,No,No,No,Yes,Yes,No
2848-YXSMW,Active,0,Male,No,Yes,Yes,72,49–72 months,Two year,Credit card (automatic),No,No,Yes,19.4,Low (<$35),1363.25,1396.8,Low Risk,0,No,No,No,No,No,No,No,No
0486-HECZI,Churned,1,Male,No,Yes,No,55,49–72 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,96.75,Premium (>$95),5238.9,5321.25,Low Risk,0,Yes,Yes,Yes,No,No,Yes,No,Yes
4549-ZDQYY,Active,0,Female,No,No,No,52,49–72 months,One year,Credit card (automatic),No,DSL,Yes,57.95,Medium ($35–65),3042.25,3013.4,Low Risk,0,No,Yes,No,Yes,Yes,No,No,No
5712-AHQNN,Active,0,Female,No,No,No,43,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,91.65,High ($65–95),3954.1,3940.95,Low Risk,0,No,No,Yes,Yes,No,Yes,No,No
4846-WHAFZ,Churned,1,Female,Yes,Yes,No,37,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,76.5,High ($65–95),2868.15,2830.5,Low Risk,1,Yes,No,No,No,No,No,No,Yes
5256-SKJGO,Active,0,Female,No,Yes,Yes,64,49–72 months,Two year,Electronic check,Yes,DSL,No,54.6,Medium ($35–65),3423.5,3494.4,Low Risk,0,No,No,Yes,No,Yes,Yes,Yes,No
3071-VBYPO,Active,0,Male,No,Yes,Yes,3,0–12 months,Month-to-month,Electronic check,No,Fiber optic,Yes,89.85,High ($65–95),248.4,269.55,High Risk,0,No,Yes,Yes,No,No,Yes,No,No
9560-BBZXK,Active,0,Female,No,No,No,36,25–48 months,Two year,Bank transfer (automatic),No,DSL,No,31.05,Low (<$35),1126.35,1117.8,Low Risk,0,No,Yes,No,No,No,No,No,No
5299-RULOA,Churned,1,Female,No,Yes,Yes,10,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,100.25,Premium (>$95),1064.65,1002.5,High Risk,0,Yes,Yes,No,No,No,Yes,Yes,Yes
8402-OOOHJ,Active,0,Female,No,No,No,41,25–48 months,Two year,Mailed check,No,No,Yes,20.65,Low (<$35),835.15,846.65,Low Risk,0,No,No,No,No,No,No,No,No
9445-ZUEQE,Active,0,Male,No,Yes,Yes,27,25–48 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,85.2,High ($65–95),2151.6,2300.4,Low Risk,0,Yes,No,Yes,No,Yes,No,No,No
1091-SOZGA,Active,0,Female,No,Yes,Yes,56,49–72 months,One year,Credit card (automatic),Yes,Fiber optic,Yes,99.8,Premium (>$95),5515.45,5588.8,Low Risk,0,Yes,No,No,Yes,No,Yes,Yes,No
2928-HLDBA,Active,0,Female,No,No,No,6,0–12 months,Month-to-month,Mailed check,No,No,Yes,20.7,Low (<$35),112.75,124.2,High Risk,0,No,No,No,No,No,No,No,No
0404-SWRVG,Churned,1,Male,No,No,No,3,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,74.4,High ($65–95),229.55,223.2,High Risk,0,Yes,No,No,No,No,No,No,Yes
6497-TILVL,Active,0,Female,No,Yes,Yes,7,0–12 months,Month-to-month,Mailed check,No,DSL,Yes,50.7,Medium ($35–65),350.35,354.9,High Risk,0,No,Yes,No,No,No,No,No,No
7219-TLZHO,Active,0,Female,No,Yes,Yes,4,0–12 months,Month-to-month,Mailed check,No,No,Yes,20.85,Low (<$35),62.9,83.4,High Risk,0,No,No,No,No,No,No,No,No
